run_id,dataset,method,chunk_size,max_queries,n_docs,n_queries,time_seconds,MRR,Recall@1,Recall@5,Recall@10,Recall@100,NDCG@1,NDCG@5,NDCG@10,NDCG@100,batch_size,config_elapsed_seconds,device
20260406_235803,nfcorpus,dense,original,200,3633,200,3.614,0.5439268709589768,0.0506751789882926,0.12390348508757,0.16014146707599816,0.2911996706475069,0.44666666666666666,0.372843714004186,0.3447722767742437,0.2991169592702607,128,6.615,cuda
20260406_235803,nfcorpus,sparse,original,200,3633,200,0.955,0.559412408293444,0.06939783324024539,0.13392536873034827,0.16679806557257662,0.22714701135999188,0.4666666666666666,0.38460211099054875,0.34942418500229794,0.2777856775385046,,0.981,cpu
20260406_235803,nfcorpus,hybrid,original,200,3633,200,5.337,0.5907949950807274,0.06550643746114228,0.14397065301663162,0.17055995408111851,0.2950894577109497,0.5033333333333333,0.4133805189448417,0.37307732740449334,0.32090741676729906,128,6.138,cuda
20260406_235803,nfcorpus,dense,chunk_128,200,8882,200,6.247,0.5365568769880406,0.02257426154116377,0.08277301725649341,0.11623918624433383,0.2310616271035767,0.4533333333333333,0.4073759586655838,0.3799536726514085,0.2958566079080349,128,6.958,cuda
20260406_235803,nfcorpus,sparse,chunk_128,200,8882,200,1.805,0.5452338422808324,0.0324129450091847,0.09669132683810336,0.11542596200310605,0.17929187262479399,0.45833333333333326,0.4108638887427309,0.36572914599792833,0.2627338864986559,,1.832,cpu
20260406_235803,nfcorpus,hybrid,chunk_128,200,8882,200,10.13,0.5758412372082722,0.03349762033726264,0.10373395941390809,0.13002369796179816,0.23131385354682257,0.5,0.44674755974897096,0.40469696931932136,0.3100002999928198,128,10.932,cuda
20260406_235803,nfcorpus,dense,chunk_256,200,5366,200,4.008,0.5342363585216638,0.04401526967841669,0.09840365465551383,0.1377786348725967,0.2608792479272013,0.4333333333333333,0.37890428717327274,0.3496459139687373,0.29293111729744065,128,4.724,cuda
20260406_235803,nfcorpus,sparse,chunk_256,200,5366,200,1.199,0.552607499441853,0.05974222797447677,0.12160228213861222,0.14463034160204832,0.20829830635415025,0.465,0.39856827921372173,0.356208686035153,0.2720056602792297,,1.223,cpu
20260406_235803,nfcorpus,hybrid,chunk_256,200,5366,200,6.885,0.580119992528517,0.06054339371644837,0.12394676692649247,0.14893849324403108,0.2659914415070397,0.48666666666666664,0.4173326291077987,0.37786812863593483,0.3131986967516655,128,7.579,cuda
20260406_235803,nfcorpus,dense,chunk_512,200,3664,200,3.432,0.5402453274096998,0.05077631740243078,0.11860103884892575,0.16570139789709554,0.2917697131258988,0.45,0.3722792286360297,0.3433809128774394,0.29824177337892677,128,4.166,cuda
20260406_235803,nfcorpus,sparse,chunk_512,200,3664,200,0.994,0.5692633286681957,0.06963373506507337,0.13793373766253667,0.16688077775090449,0.23076941097057316,0.485,0.39132716631284786,0.35387260181386415,0.28050217154061774,,1.017,cpu
20260406_235803,nfcorpus,hybrid,chunk_512,200,3664,200,5.458,0.6001129684492476,0.07162150868447686,0.14330829389229838,0.16561042006584553,0.29325673509044,0.5183333333333333,0.4151528707583168,0.3718570190981449,0.32299731041587193,128,6.27,cuda
