method,n_configs,embed1_MRR,embed2_MRR,delta_MRR,embed1_Recall@1,embed2_Recall@1,delta_Recall@1,embed1_Recall@5,embed2_Recall@5,delta_Recall@5,embed1_Recall@10,embed2_Recall@10,delta_Recall@10,embed1_Recall@100,embed2_Recall@100,delta_Recall@100,embed1_NDCG@1,embed2_NDCG@1,delta_NDCG@1,embed1_NDCG@5,embed2_NDCG@5,delta_NDCG@5,embed1_NDCG@10,embed2_NDCG@10,delta_NDCG@10,embed1_NDCG@100,embed2_NDCG@100,delta_NDCG@100
dense,20,0.5106726529331815,0.5105893195998482,8.333333333334081e-05,0.11901319852973535,0.11900848154860329,4.716981132075505e-06,0.31258741094265596,0.3125938640348992,-6.453092243187409e-06,0.3936688152593449,0.3936688152593449,0.0,0.5879258621911375,0.5879306698834452,-4.807692307692846e-06,0.32133333333333336,0.3210833333333334,0.00024999999999999746,0.3580922177985254,0.3581487299331957,-5.651213467025851e-05,0.3736966837997318,0.3736934988150056,3.1849847262621633e-06,0.4073795714098126,0.40738132507566566,-1.7536658530631355e-06
hybrid,20,0.5333736538695976,0.5334670291241852,-9.33752545876826e-05,0.12707355621778452,0.12707355621778452,0.0,0.3122592017882159,0.3122914373577975,-3.2235569581593945e-05,0.3835562349179743,0.3835484633964902,7.771521484132432e-06,0.6044440745234924,0.6046780571985202,-0.00023398267502780095,0.3335,0.3336666666666667,-0.00016666666666666495,0.3651110311548672,0.3650646292273488,4.6401927518444074e-05,0.3758287420751326,0.37585325457186214,-2.4512496729545143e-05,0.4154874982778144,0.4155298340267685,-4.233574895417813e-05
sparse,20,0.4884019160279095,0.488363588019104,3.832800880547299e-05,0.11457169259962693,0.11457169259962693,0.0,0.2727358927679648,0.27273128661515883,4.606152805949546e-06,0.33963491489914854,0.3396316972464577,3.217652690847353e-06,0.49314218385416264,0.4931115094109518,3.067444321085272e-05,0.28650000000000003,0.28650000000000003,0.0,0.3136996821508993,0.31369193100862586,7.751142273439148e-06,0.3233526049993351,0.32334074169977034,1.18632995647322e-05,0.3423800326025873,0.3423747985639808,5.234038606563573e-06
