run_id,dataset,method,chunk_size,max_queries,n_docs,n_queries,time_seconds,MRR,Recall@1,Recall@5,Recall@10,Recall@100,NDCG@1,NDCG@5,NDCG@10,NDCG@100,config_elapsed_seconds
20260328_191443,nfcorpus,dense,original,200,3633,200,22.906,0.5439268709589768,0.0506751789882926,0.12390348508757,0.16014146707599816,0.29110351680135305,0.44666666666666666,0.372843714004186,0.3447722767742437,0.29905872006496176,23.793
20260328_191443,nfcorpus,sparse,original,200,3633,200,0.439,0.5594110421732253,0.06939783324024539,0.13392536873034827,0.16679806557257662,0.2271651584519546,0.4666666666666666,0.38460211099054875,0.34941101782602074,0.27773344731532873,0.454
20260328_191443,nfcorpus,hybrid,original,200,3633,200,24.232,0.590536578986345,0.06550643746114228,0.14370874825472685,0.17055995408111851,0.2900312463025306,0.5033333333333333,0.41396222797075155,0.37316309826868777,0.3200667345636606,24.918
20260328_191443,nfcorpus,dense,chunk_128,200,8882,200,39.897,0.5390568769880406,0.02266860116380528,0.08267867763385191,0.11623918624433383,0.2310616271035767,0.45833333333333326,0.4073458029807175,0.3803260950202164,0.29598392838199394,40.777
20260328_191443,nfcorpus,sparse,chunk_128,200,8882,200,1.015,0.5451840748329961,0.0324129450091847,0.09669132683810336,0.11544177140157981,0.1793038058030416,0.45833333333333326,0.4108638887427309,0.36631566048546654,0.26272081538822833,1.043
20260328_191443,nfcorpus,hybrid,chunk_128,200,8882,200,41.337,0.5758901913919326,0.03349762033726264,0.10341794209789079,0.12991833397712382,0.23124971741719058,0.5,0.447465330788406,0.40486984042471863,0.3100042881628054,42.169
20260328_191443,nfcorpus,dense,chunk_256,200,5366,200,27.309,0.5334030251883306,0.04401526967841669,0.09836893243329159,0.1377786348725967,0.2608792479272013,0.4333333333333333,0.3780262309752224,0.34948127409807717,0.2928585869816795,29.03
20260328_191443,nfcorpus,sparse,chunk_256,200,5366,200,0.573,0.552607499441853,0.05974222797447677,0.12160228213861222,0.14463034160204832,0.20910667266455132,0.465,0.39856827921372173,0.35618902253434004,0.27226515709005655,0.593
20260328_191443,nfcorpus,hybrid,chunk_256,200,5366,200,27.661,0.5786948252687114,0.06054339371644837,0.12466105264077817,0.14878224324403108,0.26642899184464125,0.48666666666666664,0.4176490649209013,0.37712124644974543,0.3133042818738916,28.387
20260328_191443,nfcorpus,dense,chunk_512,200,3664,200,23.23,0.5402453274096998,0.05077631740243078,0.11860103884892575,0.16570139789709554,0.2917697131258988,0.45,0.37205719782554114,0.34323683007381683,0.29821071923779185,24.861
20260328_191443,nfcorpus,sparse,chunk_512,200,3664,200,0.47,0.5692633286681957,0.06963373506507337,0.13793373766253667,0.16688077775090449,0.23038616273261636,0.485,0.39132716631284786,0.35387260181386415,0.280440690262,0.486
20260328_191443,nfcorpus,hybrid,chunk_512,200,3664,200,24.032,0.6005443939255681,0.07162150868447686,0.14256267985721066,0.1660467717718823,0.29350469926750444,0.515,0.41514953022596407,0.372348617432478,0.3232295853685441,24.695
20260328_191443,fiqa,dense,original,200,57638,200,233.719,0.4477285211067862,0.16158531746031746,0.3426825396825397,0.4311289682539683,0.7000515873015871,0.345,0.3329447470523346,0.35955412514361074,0.4308545048014238,234.37
20260328_191443,fiqa,sparse,original,200,57638,200,43.605,0.2614708667169311,0.08751190476190475,0.193015873015873,0.24231944444444445,0.42125793650793647,0.195,0.18030538796700232,0.19604474785377676,0.24118008343477937,43.721
20260328_191443,fiqa,hybrid,original,200,57638,200,272.899,0.3783924094222259,0.13532936507936508,0.28587896825396825,0.36943253968253975,0.6757738095238094,0.295,0.2737227217010901,0.300801304746744,0.3848493257561072,273.97
20260328_191443,fiqa,dense,chunk_128,200,90805,200,270.508,0.42393553337986667,0.10459536501080617,0.22194808785985273,0.2851638116785177,0.5187793848308553,0.335,0.26897319198927794,0.2779354007540682,0.3452460648236623,271.352
20260328_191443,fiqa,sparse,chunk_128,200,90805,200,65.869,0.24346764876692328,0.054849673202614364,0.10773558304440656,0.13856417316343786,0.2782527488851019,0.185,0.13242346534375757,0.13746734800899615,0.18020213560028903,66.003
20260328_191443,fiqa,hybrid,chunk_128,200,90805,200,335.42,0.3559563834896678,0.07931930079724196,0.17152888002520356,0.2384412891030538,0.48188582332699964,0.27,0.21451591061711978,0.2260536342119193,0.2984935360112792,336.232
20260328_191443,fiqa,dense,chunk_256,200,66360,200,265.3,0.4332079359480385,0.14172240259740257,0.29031186868686887,0.3706786269286269,0.6426222111222111,0.335,0.30267906443942677,0.32402053431945066,0.399277839324407,266.215
20260328_191443,fiqa,sparse,chunk_256,200,66360,200,50.454,0.26568030089756056,0.08430952380952378,0.15546031746031744,0.19778968253968254,0.3483534659784659,0.21,0.16391735045073486,0.17661351189695126,0.21787608247911727,50.576
20260328_191443,fiqa,hybrid,chunk_256,200,66360,200,314.714,0.36032340290404086,0.09400992063492061,0.24175414862914862,0.3131470612720613,0.6064836274836274,0.26,0.24147232880078426,0.260757917538331,0.34417733106967746,315.528
20260328_191443,fiqa,dense,chunk_512,200,59080,200,240.098,0.44621534952416325,0.16013113275613275,0.33310304972804977,0.4217251498501499,0.6905433039183039,0.345,0.3271199914098311,0.35344260072160566,0.4253377756671647,241.001
20260328_191443,fiqa,sparse,chunk_512,200,59080,200,43.924,0.2608586157804958,0.08461080586080584,0.1918925518925519,0.24113461538461536,0.40961500999001,0.195,0.17859671260814788,0.19407821622057658,0.23685994598889137,44.044
20260328_191443,fiqa,hybrid,chunk_512,200,59080,200,280.369,0.378570432467982,0.13238858363858363,0.277741452991453,0.36275137362637366,0.6667716033966034,0.295,0.2690852668104696,0.29677800215149147,0.37970181353198607,281.2
20260328_191443,scifact,dense,original,200,5183,200,32.54,0.6059331004624532,0.47641666666666665,0.7306666666666666,0.7725,0.9275,0.495,0.6216157383269308,0.6369357731460206,0.6720803365614372,33.416
20260328_191443,scifact,sparse,original,200,5183,200,2.071,0.6520931306426831,0.5320833333333334,0.7509999999999999,0.7976666666666666,0.9095833333333333,0.55,0.6610494792339812,0.6771120788224387,0.7043642546903424,2.087
20260328_191443,scifact,hybrid,original,200,5183,200,35.239,0.6760352038412449,0.5439166666666666,0.7771666666666667,0.8275833333333332,0.9704999999999999,0.565,0.686477814306668,0.7029450112368726,0.7349898080794659,35.944
20260328_191443,scifact,dense,chunk_128,200,11848,200,54.566,0.6038279272665091,0.23061111111111113,0.5821529581529581,0.6710584415584415,0.8722727272727272,0.51,0.5488057997198027,0.5845163747071307,0.6445087532229283,56.225
20260328_191443,scifact,sparse,chunk_128,200,11848,200,4.415,0.6273401888928065,0.2301230158730159,0.5505436507936509,0.6195656565656565,0.8097662337662338,0.525,0.5323770271407914,0.5582677596383963,0.6134279011729042,4.434
20260328_191443,scifact,hybrid,chunk_128,200,11848,200,60.405,0.697974446426289,0.2714108946608948,0.632812049062049,0.6930804473304474,0.891715367965368,0.62,0.6104832389715368,0.6336451522333829,0.69079575566473,62.31
20260328_191443,scifact,dense,chunk_256,200,6889,200,37.505,0.6272885276695408,0.42146428571428574,0.6924404761904762,0.7497619047619049,0.9092857142857143,0.535,0.6174696685571114,0.6399610704913494,0.680911438629648,38.243
20260328_191443,scifact,sparse,chunk_256,200,6889,200,2.666,0.6423029741406363,0.4261666666666667,0.6963928571428571,0.7657261904761904,0.8907142857142857,0.535,0.6243476089742398,0.6502942657442481,0.6820388312544061,2.684
20260328_191443,scifact,hybrid,chunk_256,200,6889,200,40.484,0.6823781239678633,0.4753333333333332,0.7475595238095238,0.7814880952380951,0.9516071428571429,0.585,0.6761620383498649,0.6901825929831663,0.7319766990121512,41.254
20260328_191443,scifact,dense,chunk_512,200,5233,200,33.492,0.6107268794533226,0.48208333333333336,0.7236666666666666,0.7868333333333334,0.9325,0.5,0.625673332419291,0.6478186029296483,0.679984355658002,34.145
20260328_191443,scifact,sparse,chunk_512,200,5233,200,2.121,0.6542335619154039,0.5279166666666666,0.741,0.8001666666666667,0.9095833333333333,0.555,0.6573565316240054,0.6781070532225186,0.7043807943278053,2.136
20260328_191443,scifact,hybrid,chunk_512,200,5233,200,35.78,0.6770866431884879,0.5455833333333333,0.7761666666666668,0.8210833333333334,0.9715,0.57,0.6873127606972373,0.7029011746470338,0.7365925760753292,36.488
20260328_191443,arguana,dense,original,200,8674,200,43.024,0.23537436205783244,0.0,0.52,0.725,0.965,0.0,0.2753832791011802,0.3420041826782226,0.39772940760895936,43.687
20260328_191443,arguana,sparse,original,200,8674,200,54.158,0.17554697148826962,0.0,0.38,0.565,0.805,0.0,0.1988277574161204,0.2593271632129822,0.3113998403448087,54.178
20260328_191443,arguana,hybrid,original,200,8674,200,100.464,0.20940544641476463,0.0,0.445,0.62,0.965,0.0,0.23704718570822703,0.2946933187869236,0.3719895535428581,101.324
20260328_191443,arguana,dense,chunk_128,200,15651,200,43.903,0.18504580018298505,0.005,0.3258333333333333,0.54125,0.9408333333333333,0.005,0.1771831470731181,0.25169254492304066,0.3493272443159335,44.631
20260328_191443,arguana,sparse,chunk_128,200,15651,200,93.232,0.16980340563529756,0.0,0.31333333333333335,0.45958333333333323,0.7489166666666667,0.0,0.16489261849408268,0.2174926090376601,0.28798023757901087,93.254
20260328_191443,arguana,hybrid,chunk_128,200,15651,200,141.401,0.1913867527028437,0.0,0.35,0.5304166666666666,0.9318333333333332,0.0,0.18716624862734257,0.25048199706071084,0.34546764284454556,142.324
20260328_191443,arguana,dense,chunk_256,200,9885,200,45.619,0.22097771001737812,0.0,0.47,0.6625,0.9591666666666667,0.0,0.24918380412809987,0.3133975462032536,0.38345621676805786,46.541
20260328_191443,arguana,sparse,chunk_256,200,9885,200,59.805,0.17484699605783105,0.0,0.37,0.5575,0.8158333333333333,0.0,0.19232142728050833,0.25432976336700597,0.311452067034139,59.823
20260328_191443,arguana,hybrid,chunk_256,200,9885,200,109.62,0.20421619510600472,0.0,0.44,0.615,0.9608333333333333,0.0,0.23067795583612738,0.2881619035216332,0.36588928729770437,110.554
20260328_191443,arguana,dense,chunk_512,200,8744,200,43.906,0.21959926489348217,0.0,0.485,0.69,0.955,0.0,0.2521360951365669,0.3202318461817511,0.38241448630451025,46.714
20260328_191443,arguana,sparse,chunk_512,200,8744,200,52.437,0.1766237267804765,0.0,0.3725,0.5725,0.7975,0.0,0.19561806759520295,0.2616225609933682,0.3118262576737656,52.457
20260328_191443,arguana,hybrid,chunk_512,200,8744,200,99.993,0.20557324062906215,0.0,0.445,0.645,0.9625,0.0,0.23364373591877632,0.29920871309329256,0.36835009461282797,100.704
20260328_191443,dbpedia-entity,dense,original,200,4635922,200,9856.418,0.736884130747873,0.006959735296117515,0.026750487513224095,0.0458689384404696,0.1689714014139702,0.29333333333333356,0.2503215738717283,0.24445560851790377,0.29022704230942464,9860.406
20260328_191443,dbpedia-entity,sparse,original,200,4635922,200,1677.278,0.7986499686591635,0.0082411351359243,0.034676651181578644,0.05944572316268485,0.2192569926658099,0.22333333333333333,0.19232513427870926,0.19147299420798497,0.23483735774419745,1682.639
20260328_191443,dbpedia-entity,hybrid,original,200,4635922,200,11455.725,0.8285072214292416,0.008281397726745859,0.03424562977147006,0.05906152075687961,0.2435822426783945,0.2950000000000002,0.2587472964195319,0.25721466917082114,0.3214633655208084,11465.563
20260328_191443,dbpedia-entity,dense,chunk_128,200,4649872,200,10703.504,0.7526020755227466,0.007164662616444309,0.027776281361690292,0.046514827564715595,0.1662630037446958,0.3133333333333336,0.260460154365836,0.2529630429246896,0.2928856356214708,10704.583
20260328_191443,dbpedia-entity,sparse,chunk_128,200,4649872,200,1693.628,0.8128846730224802,0.008117229237530348,0.03554412067341652,0.06041907898752503,0.21708980564328242,0.22666666666666668,0.20433918050462668,0.19643777826236267,0.23880463113516315,1699.817
20260328_191443,dbpedia-entity,hybrid,chunk_128,200,4649872,200,12356.832,0.8251518684803569,0.008217345671348046,0.035254678936164095,0.05959620552054977,0.24187738190885333,0.30333333333333357,0.26705591231337983,0.26169236570901483,0.3227633428427286,12364.395
20260328_191443,dbpedia-entity,dense,chunk_256,200,4637375,200,10727.631,0.7537369199428023,0.007195746552725753,0.027901863470102848,0.046735062400870594,0.1674088437845403,0.3133333333333336,0.2607015737325596,0.2534173439177435,0.2935890245127261,10728.724
20260328_191443,dbpedia-entity,sparse,chunk_256,200,4637375,200,1706.962,0.8128846730224802,0.008155866182446053,0.03572350394175644,0.06076508766573867,0.2179563568512622,0.22666666666666668,0.204862912805997,0.19615883592977512,0.2388408356378595,1713.558
20260328_191443,dbpedia-entity,hybrid,chunk_256,200,4637375,200,12394.72,0.8252996586746589,0.008253759526189258,0.03537518449864331,0.0598816002050463,0.24279950294871713,0.30333333333333357,0.26724918523740854,0.26190784106504583,0.3227636493780263,12402.406
20260328_191443,dbpedia-entity,dense,chunk_512,200,4636181,200,10759.017,0.7537369199428023,0.0071988442464181925,0.027961805537051944,0.04679655432587551,0.16750496119011588,0.3133333333333336,0.26092024886174686,0.2537706024687927,0.2936493474000701,10760.071
20260328_191443,dbpedia-entity,sparse,chunk_512,200,4636181,200,1706.516,0.8128846730224802,0.008161289973127029,0.0357466975099535,0.06080102259921891,0.2182023747620321,0.22833333333333336,0.2050715360402288,0.19643711090796967,0.23896928589865404,1713.511
20260328_191443,dbpedia-entity,hybrid,chunk_512,200,4636181,200,12424.51,0.8255496586746588,0.008258263087736964,0.03534976360275548,0.059853929216950895,0.24300366688179698,0.30333333333333357,0.26717486887575675,0.2616464407706397,0.3228812943471592,12432.861
